name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	Family	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Alloscardovia	419014	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	0.0120	0.0080	0.0010
Scardovia	196081	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	0.0010	0.0000	0.0010
Bombiscardovia	1159909	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	0.0000	0.0000	0.0000
Nocardioides	1839	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	0.0200	0.0120	0.0100
Aeromicrobium	2040	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	0.0020	0.0010	0.0010
Pimelobacter	2044	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	0.0010	0.0000	0.0000
Mumia	1546255	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	0.0010	0.0000	0.0000
Solicola	3024237	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	0.0000	0.0000	0.0000
Micropruina	116071	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	0.0000	0.0000	0.0000
Friedmanniella	53387	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	0.0000	0.0000	0.0000
Acidipropionibacterium	1912215	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0070	0.0000	0.0010
Microlunatus	29404	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0060	0.0010	0.0010
Cutibacterium	1912216	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0020	0.0000	0.0010
Tessaracoccus	72763	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0020	0.0000	0.0010
Auraticoccus	1278221	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0010	0.0000	0.0000
Naumannella	1294511	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0010	0.0000	0.0000
Arachnia	2801844	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0010	0.0000	0.0010
Raineyella	1911549	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0000	0.0000	0.0000
Propionibacterium	1743	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0000	0.0000	0.0000
Propioniciclava	1085622	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0000	0.0000	0.0000
Propionimicrobium	203133	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0000	0.0000	0.0000
Brooklawnia	369926	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0000	0.0000	0.0000
Luteococcus	33983	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0000	0.0000	0.0000
Ammonicoccus	3417658	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	0.0000	0.0000	0.0000
Kribbella	182639	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	0.0050	0.0010	0.0020
Actinopolymorpha	117156	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Actinopolymorphaceae	0.0000	0.0000	0.0000
Amycolatopsis	1813	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0130	0.0110	0.0060
Lentzea	165301	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0060	0.0020	0.0040
Pseudonocardia	1847	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0060	0.0030	0.0050
Saccharopolyspora	1835	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0040	0.0030	0.0060
Actinomycetospora	402649	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0020	0.0010	0.0040
Kutzneria	43356	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0010	0.0010	0.0010
Saccharothrix	2071	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0010	0.0010	0.0010
Saccharomonospora	1851	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0010	0.0030	0.0010
Kibdelosporangium	2029	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0010	0.0000	0.0000
Prauserella	142577	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0010	0.0010	0.0000
Actinoalloteichus	65496	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0010	0.0010	0.0010
Actinokineospora	39845	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0010	0.0010	0.0010
Actinosynnema	40566	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0000	0.0000	0.0010
Allokutzneria	1137960	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0000	0.0000	0.0000
Umezawaea	583360	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0000	0.0000	0.0000
Salinifilum	2040254	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0000	0.0000	0.0000
Crossiella	130795	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0000	0.0000	0.0000
Allosaccharopolyspora	2893576	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0000	0.0000	0.0000
Alloactinosynnema	674734	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	0.0000	0.0000	0.0000
Micromonospora	1873	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0170	0.0040	0.0120
Actinoplanes	1865	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0070	0.0010	0.0030
Dactylosporangium	35753	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0050	0.0020	0.0030
Plantactinospora	673534	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0020	0.0000	0.0000
Solwaraspora	265431	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0010	0.0000	0.0000
Phytohabitans	907364	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0010	0.0000	0.0000
Polymorphospora	338583	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0010	0.0000	0.0000
Actinocatenispora	390988	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0000	0.0000	0.0000
Catellatospora	53365	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0000	0.0000	0.0000
Natronosporangium	2920401	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0000	0.0000	0.0000
Krasilnikovia	349312	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0000	0.0000	0.0000
Longispora	203522	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0000	0.0000	0.0000
Couchioplanes	56433	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	0.0000	0.0000	0.0000
Trueperella	1069494	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0130	0.0090	0.0020
Actinomyces	1654	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0070	0.0010	0.0030
Arcanobacterium	28263	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0050	0.0000	0.0010
Schaalia	2529408	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0030	0.0000	0.0010
Varibaculum	184869	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0020	0.0040	0.0020
Actinotignum	1653174	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0020	0.0020	0.0040
Gleimia	2692113	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0010	0.0000	0.0000
Actinobaculum	76833	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0010	0.0000	0.0000
Buchananella	2767323	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0000	0.0000	0.0010
Scrofimicrobium	2815785	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0000	0.0000	0.0000
Flaviflexus	1522056	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0000	0.0000	0.0000
Mobiluncus	2050	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0000	0.0000	0.0000
Changpingibacter	2912996	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0000	0.0080	0.0000
Nanchangia	2888879	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0000	0.0000	0.0000
Winkia	2692118	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	0.0000	0.0000	0.0000
Nonomuraea	83681	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	0.0030	0.0010	0.0020
Streptosporangium	2000	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	0.0020	0.0060	0.0010
Microbispora	2005	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	0.0020	0.0010	0.0010
Sphaerisporangium	321315	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	0.0000	0.0000	0.0000
Microtetraspora	1995	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	0.0000	0.0000	0.0000
Sphaerimonospora	1792303	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	0.0000	0.0000	0.0000
Actinomadura	1988	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	0.0030	0.0010	0.0020
Spirillospora	58122	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	0.0010	0.0000	0.0000
Actinoallomurus	667113	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	0.0010	0.0000	0.0000
Thermomonospora	2019	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	0.0010	0.0020	0.0030
Nocardiopsis	2013	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	0.0010	0.0060	0.0010
Streptomonospora	104204	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	0.0010	0.0010	0.0000
Thermobifida	83677	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	0.0000	0.0010	0.0000
Candidatus Planktophila	622681	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	0.0060	0.0080	0.0030
Candidatus Nanopelagicus	2039639	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	0.0030	0.0040	0.0020
Geodermatophilus	1860	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	0.0010	0.0000	0.0000
Blastococcus	38501	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	0.0010	0.0000	0.0000
Modestobacter	88138	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	0.0010	0.0000	0.0010
Georgenia	154116	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Allobogoriellales	Allobogoriellaceae	0.0010	0.0000	0.0010
Jatrophihabitans	1434010	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Jatrophihabitantales	Jatrophihabitantaceae	0.0010	0.0000	0.0010
Nakamurella	53460	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Nakamurellales	Nakamurellaceae	0.0010	0.0000	0.0000
Kineococcus	33981	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kineosporiales	Kineosporiaceae	0.0010	0.0000	0.0010
Angustibacter	908626	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kineosporiales	Kineosporiaceae	0.0000	0.0000	0.0000
Frankia	1854	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	0.0000	0.0000	0.0000
Parafrankia	2994362	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	0.0000	0.0000	0.0000
Pseudofrankia	2994363	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	0.0000	0.0000	0.0000
Epidermidibacterium	2078948	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Sporichthyales	Sporichthyaceae	0.0010	0.0000	0.0000
Natronoglycomyces	2838311	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Glycomycetales	Glycomycetaceae	0.0000	0.0000	0.0000
Stackebrandtia	283810	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Glycomycetales	Glycomycetaceae	0.0000	0.0000	0.0000
Catenulispora	414878	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Catenulisporales	Catenulisporaceae	0.0000	0.0000	0.0000
Bounagaea	1931219	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes			0.0000	0.0000	0.0000
Jiangella	281472	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Jiangellales	Jiangellaceae	0.0000	0.0000	0.0000
Actinopolyspora	1849	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinopolysporales	Actinopolysporaceae	0.0000	0.0000	0.0000
Acidothermus	28048	G	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Acidothermales	Acidothermaceae	0.0000	0.0000	0.0000
Denitrobacterium	79603	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0020	0.0000	0.0000
Eggerthella	84111	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0010	0.0000	0.0000
Adlercreutzia	447020	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Slackia	84108	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Phoenicibacter	1981050	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Xiamenia	2981344	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Umbribacter	3472368	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Cryptobacterium	84162	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Raoultibacter	1926677	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Arabiibacter	2005386	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.0000	0.0000	0.0000
Fannyhessea	2767327	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0010	0.0020	0.0040
Lancefieldella	2767353	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0000	0.0000	0.0010
Parolsenella	2082587	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0000	0.0000	0.0000
Olsenella	133925	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0000	0.0000	0.0000
Thermophilibacter	2847307	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0000	0.0000	0.0000
Atopobium	1380	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0000	0.0000	0.0000
Parafannyhessea	2847312	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0000	0.0000	0.0000
Collinsella	102106	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	0.0010	0.0000	0.0010
Enorma	1472762	G	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	0.0000	0.0000	0.0000
Iamia	467975	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	0.0010	0.0000	0.0000
Aquihabitans	1648491	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	0.0010	0.0000	0.0010
Dermatobacter	3075137	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	0.0000	0.0000	0.0000
Actinomarinicola	2789775	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	0.0000	0.0000	0.0000
Candidatus Poriferisocius	2983186	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Candidatus Hopanoidivoransaceae	0.0020	0.0000	0.0000
Candidatus Poriferisodalis	2983190	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Candidatus Poriferisodalaceae	0.0010	0.0000	0.0010
Acidimicrobium	53634	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	0.0010	0.0000	0.0000
Ilumatobacter	682522	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	0.0000	0.0000	0.0000
Salinilacustrithrix	3436875	G	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Salinilacustritrichaceae	0.0000	0.0000	0.0000
Baekduia	2600304	G	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	Baekduiaceae	0.0020	0.0000	0.0000
Svornostia	3231543	G	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	Baekduiaceae	0.0000	0.0000	0.0000
Conexibacter	191494	G	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	0.0010	0.0000	0.0000
Paraconexibacter	2758920	G	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	Paraconexibacteraceae	0.0000	0.0000	0.0000
Capillimicrobium	2976759	G	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	Capillimicrobiaceae	0.0000	0.0000	0.0000
Miltoncostaea	2843200	G	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Miltoncostaeales	Miltoncostaeaceae	0.0000	0.0000	0.0000
Thermoleophilum	192992	G	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Thermoleophilales	Thermoleophilaceae	0.0000	0.0000	0.0000
Egicoccus	1755825	G	Bacteria	Bacillati	Actinomycetota	Nitriliruptoria	Egicoccales	Egicoccaceae	0.0020	0.0000	0.0010
Euzebya	908623	G	Bacteria	Bacillati	Actinomycetota	Nitriliruptoria	Euzebyales	Euzebyaceae	0.0000	0.0000	0.0000
Egibacter	1747770	G	Bacteria	Bacillati	Actinomycetota	Nitriliruptoria	Egibacterales	Egibacteraceae	0.0000	0.0000	0.0000
Rubrobacter	42255	G	Bacteria	Bacillati	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	0.0010	0.0000	0.0000
Mycoplasma	2093	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	0.1580	0.2380	0.1650
Candidatus Hepatoplasma	295595	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Mycoplasmatales	Candidatus Hepatoplasmataceae	0.0070	0.0150	0.0080
Spiroplasma	2132	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	Spiroplasmataceae	0.0970	0.1610	0.1220
Mesoplasma	46239	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	Entomoplasmataceae	0.0160	0.0280	0.0990
Entomoplasma	46238	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	Entomoplasmataceae	0.0010	0.0000	0.0010
Williamsoniiplasma	2919614	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales		0.0030	0.0010	0.0030
Candidatus Izemoplasma	2975549	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Candidatus Izemoplasmatales	Candidatus Izemoplasmataceae	0.0170	0.0230	0.0130
Candidatus Xianfuyuplasma	2975521	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Candidatus Izemoplasmatales	Candidatus Izemoplasmataceae	0.0100	0.0130	0.0100
Hujiaoplasma	3078171	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Candidatus Izemoplasmatales	Hujiaoplasmataceae	0.0010	0.0000	0.0010
Acholeplasma	2147	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	0.0140	0.0200	0.0130
Candidatus Phytoplasma	33926	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	0.0120	0.0200	0.0140
Haploplasma	2903106	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	0.0020	0.0210	0.0010
Mariniplasma	2903100	G	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	0.0010	0.0050	0.0010
Mycoplasmopsis	2767358	G	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	0.0660	0.1020	0.0640
Metamycoplasma	2895509	G	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	0.0320	0.0560	0.0290
Mesomycoplasma	2923352	G	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	0.0210	0.0350	0.0360
Mycoplasmoides	2995234	G	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	0.0080	0.0110	0.0080
Ureaplasma	2129	G	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	0.0060	0.0080	0.0060
Malacoplasma	2791001	G	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	0.0010	0.0010	0.0040
Nostoc	1177	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	0.0550	0.0550	0.0670
Richelia	98443	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	0.0130	0.0010	0.0050
Anabaena	1163	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	0.0150	0.0060	0.0260
Trichormus	264688	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	0.0020	0.0070	0.0120
Cylindrospermum	56106	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	0.0000	0.0000	0.0010
Dolichospermum	748770	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	0.0110	0.0080	0.0110
Cylindrospermopsis	77021	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	0.0030	0.0030	0.0020
Okeanomitos	3231549	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	0.0020	0.0040	0.0010
Sphaerospermopsis	752201	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	0.0000	0.0000	0.0010
Fischerella	1190	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	0.0070	0.0080	0.0050
Halotia	1620790	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nodulariaceae	0.0020	0.0000	0.0000
Nodularia	159191	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nodulariaceae	0.0020	0.0000	0.0010
Aliinostoc	2035978	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nodulariaceae	0.0010	0.0010	0.0010
Anabaenopsis	110103	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nodulariaceae	0.0000	0.0000	0.0000
Calothrix	1186	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	0.0040	0.0010	0.0020
Brasilonema	383614	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Scytonemataceae	0.0030	0.0000	0.0010
Tolypothrix	111782	G	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Tolypothrichaceae	0.0010	0.0010	0.0090
