name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Mycoplasmataceae	2092	F	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Mycoplasmatales	0.1580	0.2380	0.1650
Candidatus Hepatoplasmataceae	3132029	F	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Mycoplasmatales	0.0070	0.0150	0.0080
Spiroplasmataceae	2131	F	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	0.0970	0.1610	0.1220
Entomoplasmataceae	33925	F	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	0.0200	0.0290	0.1030
Candidatus Izemoplasmataceae	2975520	F	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Candidatus Izemoplasmatales	0.0270	0.0360	0.0240
Hujiaoplasmataceae	3078170	F	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Candidatus Izemoplasmatales	0.0010	0.0000	0.0010
Acholeplasmataceae	2146	F	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Acholeplasmatales	0.0290	0.0650	0.0280
Metamycoplasmataceae	2895623	F	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	0.1190	0.1930	0.1290
Mycoplasmoidaceae	2790998	F	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	0.0150	0.0210	0.0180
Nostocaceae	1162	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0850	0.0690	0.1110
Aphanizomenonaceae	1892259	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0160	0.0150	0.0150
Hapalosiphonaceae	1892263	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0070	0.0080	0.0050
Nodulariaceae	3079761	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0050	0.0010	0.0030
Calotrichaceae	2661849	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0040	0.0010	0.0020
Scytonemataceae	1182	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0030	0.0000	0.0010
