name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Kutzneria chonburiensis	1483604	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kutzneria	0.0010	0.0000	0.0000
Kutzneria albida	43357	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kutzneria	0.0000	0.0000	0.0000
Kutzneria sp. CA-103260	2802641	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kutzneria	0.0000	0.0000	0.0000
Kutzneria buriramensis	1045776	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kutzneria	0.0000	0.0000	0.0000
Saccharothrix sp. 6-C	2781735	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	0.0000	0.0000	0.0000
Saccharothrix sp. DSM 118769	3425867	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	0.0000	0.0010	0.0000
Saccharothrix isguenensis	1816181	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	0.0000	0.0000	0.0000
Saccharothrix espanaensis	103731	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	0.0000	0.0000	0.0000
Saccharothrix syringae	103733	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	0.0000	0.0000	0.0000
Saccharothrix hoggarensis	913853	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	0.0000	0.0000	0.0000
Saccharomonospora viridis	1852	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	0.0000	0.0000	0.0000
Saccharomonospora marina	632569	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	0.0000	0.0010	0.0000
Saccharomonospora azurea	40988	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	0.0000	0.0010	0.0000
Saccharomonospora glauca	40990	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	0.0000	0.0000	0.0000
Saccharomonospora xinjiangensis	75294	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	0.0000	0.0000	0.0000
Saccharomonospora cyanea	40989	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	0.0000	0.0000	0.0000
Kibdelosporangium phytohabitans	860235	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	0.0010	0.0000	0.0000
Prauserella marina	530584	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Prauserella	0.0010	0.0010	0.0000
Actinoalloteichus hymeniacidonis	340345	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus	0.0010	0.0000	0.0000
Actinoalloteichus hoggarensis	1470176	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus	0.0000	0.0000	0.0000
Actinokineospora sp. G85	3406626	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	0.0000	0.0000	0.0000
Actinokineospora sp. HUAS TT18	3447451	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	0.0000	0.0000	0.0000
Actinokineospora sp. UTMC 2448	2268449	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	0.0000	0.0000	0.0000
Actinokineospora auranticolor	155976	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	0.0000	0.0000	0.0000
Actinosynnema mirum	40567	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	0.0000	0.0000	0.0000
Actinosynnema sp. CS-041913	3239917	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	0.0000	0.0000	0.0000
Allokutzneria albata	211114	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Allokutzneria	0.0000	0.0000	0.0000
Umezawaea sp. Da 62-37	3075927	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Umezawaea	0.0000	0.0000	0.0000
Salinifilum ghardaiensis	1293032	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Salinifilum	0.0000	0.0000	0.0000
Crossiella sp. CA-258035	2981138	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Crossiella	0.0000	0.0000	0.0000
Allosaccharopolyspora coralli	2665642	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Allosaccharopolyspora	0.0000	0.0000	0.0000
Alloactinosynnema sp. L-07	1653480	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Alloactinosynnema	0.0000	0.0000	0.0000
Micromonospora sp. HUAS YX12	3156396	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0010	0.0000	0.0000
Micromonospora sp. L5	648999	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0020	0.0000	0.0000
Micromonospora sp. NBC_00898	2975981	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. SCSIO 07396	3469969	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_01699	2975984	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_01412	2903590	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_01740	2975986	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_00860	2975980	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_01638	2975982	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_00617	2903587	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0010	0.0000
Micromonospora sp. NBC_01739	2975985	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. HM134	2583243	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. CA-249363	3239963	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. WMMD987	3016089	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. SH-82	3132938	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. KLBMP9576	3424769	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. WMMD712	3016096	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_00421	2975976	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. CA-248260	3239962	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. CA-244673	3239958	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. CA-263727	3239967	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. HUAS LYJ1	3061626	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_01796	2975987	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_01813	2975988	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. WMMD998	3016092	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. IBHARD004	3457764	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. NBC_00858	2975979	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora sp. WMMD1076	3016103	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Verrucosispora sp. TAA-831	3422227	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora zamorensis	709883	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0010	0.0000	0.0000
Micromonospora siamensis	299152	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0010	0.0000	0.0030
Micromonospora soli	1530045	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0010	0.0000	0.0000
Micromonospora endophytica	515350	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora maris	1003110	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora echinospora	1877	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora inositola	47865	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora tulbaghiae	479978	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0010	0.0000	0.0010
Micromonospora oryzae	1530046	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora cathayae	3028804	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora purpureochromogenes	47872	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora peucetia	47871	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0010
Micromonospora sagamiensis	47875	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora coriariae	285665	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora craniellae	2294034	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora globbae	1894969	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora fluostatini	1629071	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora echinofusca	47858	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora robiginosa	2749844	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora auratinigra	261654	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora halotolerans	709879	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora profundi	1420889	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora echinaurantiaca	47857	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora coxensis	356852	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora ureilytica	709868	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora matsumotoense	121616	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora narathiwatensis	299146	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Micromonospora harpali	1490225	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	0.0000	0.0000	0.0000
Actinoplanes sp. NBC_00393	2975953	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0010	0.0000	0.0000
Actinoplanes sp. L3-i22	2836373	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0010	0.0000	0.0000
Actinoplanes sp. CA-015351	3239897	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sp. CA-142083	3239903	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sp. HUAS TT8	3447453	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sp. N902-109	649831	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sp. CA-030573	3239898	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sp. CA-051413	3239899	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sp. CA-252034	3239906	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sp. OR16	946334	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes friuliensis	196914	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0010	0.0000	0.0000
Actinoplanes teichomyceticus	1867	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes sichuanensis	512349	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes missouriensis	1866	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes oblitus	3040509	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes ianthinogenes	122358	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Actinoplanes derwentensis	113562	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0.0000	0.0000	0.0000
Dactylosporangium sp. CS-033363	3239935	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0010	0.0000	0.0000
Dactylosporangium sp. CA-092794	3239929	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0010	0.0010	0.0010
Dactylosporangium sp. AC04546	2862460	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium sp. NBC_01737	2975959	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium sp. McL0621	3415678	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium sp. CA-233914	3239934	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium sp. CA-139114	3239931	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium sp. CS-047395	3239936	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium aurantiacum	35754	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0010	0.0000	0.0000
Dactylosporangium roseum	47989	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium fulvum	53359	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0000	0.0000	0.0000
Dactylosporangium matsuzakiense	53360	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	0.0010	0.0000	0.0000
Plantactinospora sp. BB1	2071627	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Plantactinospora	0.0010	0.0000	0.0000
Plantactinospora sp. WMMC1484	3404122	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Plantactinospora	0.0000	0.0000	0.0000
Plantactinospora sp. KBS50	2024580	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Plantactinospora	0.0000	0.0000	0.0000
Solwaraspora sp. WMMD791	3016086	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Solwaraspora	0.0010	0.0000	0.0000
Solwaraspora sp. WMMA2065	3015166	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Solwaraspora	0.0000	0.0000	0.0000
Phytohabitans suffuscus	624315	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Phytohabitans	0.0010	0.0000	0.0000
Phytohabitans flavus	1076124	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Phytohabitans	0.0000	0.0000	0.0000
Polymorphospora rubra	338584	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Polymorphospora	0.0000	0.0000	0.0000
Polymorphospora sp. A560	3040203	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Polymorphospora	0.0000	0.0000	0.0000
Actinocatenispora thailandica	227318	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinocatenispora	0.0000	0.0000	0.0000
Actinocatenispora sera	390989	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinocatenispora	0.0000	0.0000	0.0000
Catellatospora sp. IY07-71	2728827	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Catellatospora	0.0000	0.0000	0.0000
Natronosporangium hydrolyticum	2811111	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Natronosporangium	0.0000	0.0000	0.0000
Krasilnikovia sp. MM14-A1004	3373541	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Krasilnikovia	0.0000	0.0000	0.0000
Longispora sp. K20-0274	3088255	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Longispora	0.0000	0.0000	0.0000
Couchioplanes caeruleus	56438	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Couchioplanes	0.0000	0.0000	0.0000
Trueperella pyogenes	1661	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	0.0110	0.0090	0.0000
Trueperella bialowiezensis	312285	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	0.0020	0.0000	0.0020
Trueperella bernardiae	59561	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	0.0000	0.0000	0.0000
Trueperella pecoris	2733571	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	0.0000	0.0000	0.0000
Trueperella abortisuis	445930	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	0.0000	0.0000	0.0000
Actinomyces sp. zg-332	2708340	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0010	0.0000	0.0000
Actinomyces sp. oral taxon 414	712122	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces sp. 432	2057798	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces sp. Z16	2079536	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces sp. Chiba101	1851395	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces wuliandei	2057743	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0010	0.0000	0.0000
Actinomyces weissii	675090	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0010	0.0000	0.0000
Actinomyces naeslundii	1655	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0010	0.0000	0.0000
Actinomyces lilanjuaniae	2321394	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces gaoshouyii	1960083	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces radicidentis	111015	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces qiguomingii	2057800	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces respiraculi	2744574	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces israelii	1659	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces faecalis	2722820	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
Actinomyces viscosus	1656	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0010	0.0000	0.0000
Actinomyces massiliensis	461393	S	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	0.0000	0.0000	0.0000
